organization number,orgnum of the chain,orgnum of rented property's owner
915854052,,
915988709,,
916092725,986554270,993061123
916115881,,
916300670,997126971,
916311508,,
916329725,,
916336101,,
916349548,991926577,
916381662,970133194,
916381689,970133194,
916397305,,
916469144,,
916469535,,
916469543,,
916508182,878620852,
916528426,938641862,986337946
916562489,,
916640838,,916476655
916674775,,
916682166,,
916729375,938641862,916698216
916742789,,
916757557,938641862,
916935153,,
916973764,938641862,
916983344,,
917020345,971646861,
917084319,,
917114641,,
917137803,991926577,
917151644,878620852,
917192715,938641862,
917230870,987985135,983501753
917306249,,
917316651,,
917329583,,
917333564,,
917434077,,
917459517,,
917487669,,
917522650,,
917709114,,
917744807,938641862,917672962
917875103,946272620,
918049916,,925582719
918087974,,
918091068,938641862,990935122
918100717,,
918137122,,971598085
918282203,,
918290222,993314862,995464128
918303847,,
918305149,,
918305203,,
918305254,,
918305270,,
918318054,,
918340556,,842566142
918342753,,
918352651,,
918381309,,
918381856,,
918394192,,986745459
918429034,992725982,
918676708,960033950,
918776559,,
918871217,,
918929053,,
919129026,,
919231769,,
919232420,,
919264020,,
919361719,,
919409649,988256455,
919415509,,
919484594,,
919501723,986554270,999595146
919572906,,
919597607,,920422217
919643927,878620852,412624831
919771577,985850062,970906843
919858702,921967233,944073787
919907878,,890078672
919978856,,
920019242,,
920019293,,
920062407,,
920088074,988256455,
920143067,,
920167993,,
920187943,,
920214592,994926577,
920219888,,
920273955,,
920543685,,
920560504,,820710592
920568106,991926577,
921015437,938641862,
921043449,974533588,230763480
921045808,,
921052847,,987713887
921093713,,
921212860,,
921320957,998514983,
921391234,,
921550456,878620852,
921559771,,
921752660,,
921752849,,
921755570,,
921776071,984685920,984685920
921792409,,964965226
921801033,986554270,
921840225,984128681,
921849710,,
921889313,,
922043612,,
922080658,,
922149615,,
922168547,,
922265852,,
922265895,,
922356289,,
922396094,,123456789
922401349,986554270,
922607680,,919206993
922627444,,
922654050,,
922711348,991926577,
922714134,991926577,
922767440,,
922770999,,
922827087,,
922892849,,
922893640,,
922937680,,
923068783,,
923074236,,
923074546,,
923153225,,
923191577,,
923198687,,964856117
923249613,,
923344217,,
923344349,,
923531394,938641862,
923701680,,
923903682,,
923984410,,
924115912,991926577,
924303107,,
924304944,,
924524146,,
924539011,,
924625589,,
924637447,988256455,
924645660,,
924667311,,
925026409,,
925106828,,
925237272,,971327669
925309451,,
925313661,,
925437123,,
925451193,,
925451657,,980139441
925481041,,
925497541,,
925745367,979737459,950009845
925824399,878620852,
925998400,,
926164287,971272643,
926200984,,
926288784,,976988299
926353853,,939600516
926369199,,
926378562,,
926379704,,
926456237,948554062,
926499025,,983906060
926545418,,
926655906,,969559560
926658395,,974493586
927010100,,
927077485,,
927159201,,
927384973,986554270,912482472
927770830,,
928049779,,
928291731,,
971484241,,
971554878,,
971633026,979737459,913579674
971634073,,
971634189,,
971634790,,
971636823,938641862,959384983
971724080,,
971929758,,
971977612,,
972138452,,
972138487,,
972139599,,
972153621,,
972154172,,
972156507,878620852,
972156914,938641862,988252506
972156957,,915114997
972157236,,
972164143,,
972174017,,
972174068,,
972174084,,970996435
972174106,916342152,916342152
972179337,,933270092
972179353,,
972179361,,
972179728,,
972179760,,
972181153,991926577,
972181161,912450716,
972181242,,
972189871,,
972197440,,
972200336,938641862,855912082
