organization number,name,organization form code,organization form description,industry code 1,industry code 1 description,industry code 2,industry code 2 description,industry code 3,industry code 3 description,auxiliary unit code,auxiliary unit code description,has registered number of employees,number of employees,website,postal address,postal town,postal code,postal municipality,postal municipality number,postal country,postal country code,business address,business post town,business postal code,business municipality,business municipality number,business country,business country code,institutional sector code,institutional sector code description,last submitted annual accounts,registration date in unit register,foundation date,registered in VAT register,voluntary VAT registered descriptions,registered in volunteer register,registration date of the Unit Register,registered in foundation register,bankrupt,bankruptcy date,under liquidation,under liquidation date,under compulsory liquidation or dissolution,compulsory dissolution due to lack of general manager date,compulsory dissolution due to lack of auditor date,compulsory dissolution due to lack of accounts date,compulsory dissolution due to insufficient board date,compulsory liquidation due to lack of deletion date,parent unit,language form,articles of association date,statutory purpose,activity,location address,location post town,location postal code,location municipality,location municipality number,location country,location country code,registreringsdatoIEnhetsregisteret,start date,ownership change date,closure date,organization form description (EN)
821478782,EIKELIVEIEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,44,,Postboks 3010,SKI,1402,NORDRE FOLLO,3207,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,922092648,,,,,Eikeliveien 40,SKI,1424,NORDRE FOLLO,3207,Norge,NO,2018-09-29,2018-09-01,2020-01-01,,Subunit of businesses and public administration
822119212,KRYDDERHAGEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,,Bydel Grünerløkka/nPostboks 2128 Grünerløkka,OSLO,0505,OSLO,0301,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,870534612,,,,,Bøkkerveien 16B og C,OSLO,0579,OSLO,0301,Norge,NO,2019-01-26,2019-01-01,,,Subunit of businesses and public administration
823074662,ÅSEBRÅTEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,6,,Postboks 1405,FREDRIKSTAD,1602,FREDRIKSTAD,3107,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974766337,,,,,Ilaveien 128,FREDRIKSTAD,1605,FREDRIKSTAD,3107,Norge,NO,2019-07-11,2019-08-01,,,Subunit of businesses and public administration
824369062,DUESTIEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,56,www.skien.kommune.no/skien-kommune/oppvekst/barnehage/duestien-barnehage/,Postboks 158 Sentrum,SKIEN,3701,SKIEN,4003,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,974636247,,,,,Odins gate 12,SKIEN,3722,SKIEN,4003,Norge,NO,2020-01-08,2020-06-01,,,Subunit of businesses and public administration
826567112,HUSEBY ÅPEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,false,,www.trondheim.kommune.no/org/oppvekst/barnehager/huseby-bhg/huseby-apen-barnehage/,Postboks 2300 Torgarden,TRONDHEIM,7004,TRONDHEIM,5001,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,969999536,,,,,Blisterhaugvegen 14,SAUPSTAD,7078,TRONDHEIM,5001,Norge,NO,2021-02-10,2021-02-09,,,Subunit of businesses and public administration
827642312,PREG BARNEHAGER RISVOLLAN ÅPEN BARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,,,Postboks 3655 Risvollen,TRONDHEIM,7431,TRONDHEIM,5001,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930467901,,,,,Nordre Risvolltun 2,TRONDHEIM,7036,TRONDHEIM,5001,Norge,NO,2021-09-02,2021-09-01,2023-01-01,,Subunit of businesses and public administration
828227572,HOPPENSPRETT CAMILLA AKTIVITETSBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,18,,C/O SNN Regnskapshuset/nSkolegata 4,SVOLVÆR,8300,VÅGAN,1865,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,927660970,,,,,Eidsvollbakken 20,EIDSVOLL,2080,EIDSVOLL,3240,Norge,NO,2021-11-27,2021-08-18,,,Subunit of businesses and public administration
871626812,SOLBAKKEN NATURBARNEHAGE AS,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,10,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930688525,,,,,Iddeveien 100,HALDEN,1765,HALDEN,3101,Norge,NO,1995-02-22,1987-08-01,2023-01-01,,Subunit of businesses and public administration
872153322,VARHAUG BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,16,www.varhaugbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,851033602,,,,,Industrivegen 50,OS,5210,BJØRNAFJORDEN,4624,Norge,NO,1995-02-23,1989-01-02,,,Subunit of businesses and public administration
872172572,SEILDUKEN BARNEHAGE A/L,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,www.seilduken.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,947961764,,,,,Seilduksgata 32,OSLO,0553,OSLO,0301,Norge,NO,1995-02-22,1989-06-01,,,Subunit of businesses and public administration
872207562,BÅSMOBAKKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,www.basmobakken.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,951563838,,,,,Gamle Nesnaveien 3,MO I RANA,8616,RANA,1833,Norge,NO,1995-02-23,1989-12-01,,,Subunit of businesses and public administration
872215492,TANGEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,17,www.tangenbarnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,956725461,,,,,Vipevegen 10,FJERDINGBY,2008,RÆLINGEN,3224,Norge,NO,1995-02-22,1990-01-22,,,Subunit of businesses and public administration
872236112,MINKEN BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,20,minken.barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,961824060,,,,,Nebbestølen 85,FYLLINGSDALEN,5144,BERGEN,4601,Norge,NO,1995-02-23,1990-01-01,,,Subunit of businesses and public administration
872285482,BRAKAMOEN BARNEHAGE SA,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,24,brakamoen-barnehage.no,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,962347584,,,,,Andersengja 17,SAUDA,4200,SAUDA,1135,Norge,NO,1995-02-23,1991-10-01,,,Subunit of businesses and public administration
872290702,BÆRTUA BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,36,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,962145000,,,,,Elveringen 1,LAKSELV,9700,PORSANGER,5622,Norge,NO,1995-02-23,1991-10-11,,,Subunit of businesses and public administration
872301992,LÆRINGSVERKSTEDET TVEIT BARNEHAGE,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.911,Barnehager,,,,,,,true,23,laringsverkstedet.no/barnehage/tveit,Postboks 215,JESSHEIM,2051,ULLENSAKER,3209,Norge,NO,,,,,,,,,,,,,false,,,,,,,,,,,,,,,930870781,,,,,Solsletta 16,TVEIT,4658,KRISTIANSAND,4204,Norge,NO,1995-02-23,1993-08-01,2023-02-23,,Subunit of businesses and public administration
872332022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
